rating,title,text,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,product_category,source_row_id,source_dataset,source_path
1.0,not what it claims to do,nothing special  unfortunately i waited too long to return them ....  no results at all  dont waste your money,B01AKTGHFW,B01AKTGHFW,AHGAOIZVODNHYMNCBV4DECZH42UQ,1500768914981,0,True,All_Beauty,28,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/All_Beauty.jsonl
2.0,I'll stick to my 5 blade razor.,"I think I need to stick with my 5 blade razor. This razor is not only difficult to hold & is made of a hard slick plastic with no grippers, but doesn't shave as well as my 5 blade razor. The style is nice, but the functionality is not.",B07K8VTT6M,B07K8VTT6M,AGC3Q6IXOVLTTDMS4Q55FPYUF6FQ,1589724040497,0,True,All_Beauty,30,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/All_Beauty.jsonl
2.0,Ineffective,A total waste of money.  I get better results using a tea bag to alleviate under eye swelling.,B083BDVS36,B083BDVS36,AHZ6XMOLEWA67S3TX7IWEXXGWSOA,1621356942148,0,True,All_Beauty,31,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/All_Beauty.jsonl
1.0,Don’t bother,Normally I like NYX products but not this one. It leaves a funny coating on your eyebrows and pushes them down so much they look thinner than they are.<br />Not worth it.,B01M5KNSQN,B01M5KNSQN,AFETVW7S5M4LVJ7GTWPCKT7S3YBQ,1649634131604,0,True,All_Beauty,40,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/All_Beauty.jsonl
2.0,Not worth it,These fall apart easily...I would not buy again,B07KDNK11M,B07KDNK11M,AGF42GID7QWDCNFTJRCTMKAITJJA,1607532414595,1,True,All_Beauty,41,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/All_Beauty.jsonl
1.0,waste of money,Plastic does not bend for matching your brows and will not lay against your skin for tinting at all. The shapes included are way too large and do not match the natural brow lines. Total waste of money.,B09FF97RHL,B09FF97RHL,AGVVUU3QRQBHNASSGI5YQLPYOI2Q,1648824907536,0,True,All_Beauty,47,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/All_Beauty.jsonl
2.0,Not sure what this is but it's rough,This is rough on the skin.  I don't like it.  Not sure what it's supposed to do.,B09CQ4PXLN,B09CQ4PXLN,AHATA6X6MYTC3VNBFJ3WIYVK257A,1640916617087,0,False,All_Beauty,60,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/All_Beauty.jsonl
1.0,"cheap stuff... bumpy surface, paint is ...","cheap stuff... bumpy surface, paint is chipping off after one use. It's not worth printing a return label, or a drive to ups.",B01FVUMG28,B01FVUMG28,AG7WKTZINOFIXMZJYIPKIB7PV7NQ,1485824872000,2,True,All_Beauty,122,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/All_Beauty.jsonl
2.0,I recommend this product to other customers,"I've worn this for 3 days, I'm a little disappointed the black paint had already started to chip off.",B0093EQX6Y,B0093EQX6Y,AG7WKTZINOFIXMZJYIPKIB7PV7NQ,1438740353000,0,True,All_Beauty,123,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/All_Beauty.jsonl
1.0,Got Halloween makeup kit damaged \],"I read the description and thought this was something different than it was.  I DID get what I ordered, but it is damaged and the package is open, with paint leaking.  I think this happened prior to it being packed for my order because the packing seemed fine between shipper and me. Scared will have bacteria so not using.  Not what I'd hoped to get regardless but cute halloween makeup kit and I assume there are stencils in there somewhere.  I don't want to open it due to obvious paint leaking inside.  Don't trust manufacturing",B0B7RBK4NJ,B0B7RBK4NJ,AEZ26WGWJ3EOQ4KWSHG77HJAG4EA,1662827578220,0,False,All_Beauty,131,McAuley-Lab/Amazon-Reviews-2023,raw/review_categories/All_Beauty.jsonl
